No,word,POST,Meaning,Amharic,"["""
850,collier,n,One who works in a coal-mine,የድንጋይ ከሰል ማዕድን ሰራተኛ,
851,collision,n,Violent contact,ግጭት,
852,colloquial,adj,"Pertaining or peculiar to common speech as distinguished from literary,,pertaining to everyday language or speech",የንግግር ቋንቋ,
853,colloquialism,n,Form of speech used only or chiefly in conversation,የንግግር ቋንቋ,
854,colloquy,n,Conversation,ውይይት,
855,collusion,n,A secret agreement for a wrongful purpose,ስምምነት,
856,colossus,n,Any strikingly great person or object,ግዙፍ,
857,comely,adj,Handsome,መልከኛ,
858,comestible,adj,Fit to be eaten,የሚበላ,
859,comical,adj,Funny,አስቂኝ,
860,commemorate,v,"To serve as a remembrance of,,to honor the memory of",ማስታወስ,
861,commentary,n,A series of illustrative or explanatory notes on any important work,ትንተና,
862,commingle,v,To blend,መቀላቀል,
863,commissariat,n,The department of an army charged with the provision of its food and water and daily needs,የሠራዊት አቅርቦት ክፍል,
864,commission,v,To empower,ማስረከብ,
865,commitment,n,The act or process of entrusting or consigning for safe-keeping,ቃል ኪዳን,
866,committal,n,"The act, fact, or result of committing, or the state of being",መሰጠት,
867,commodity,n,Something that is bought and sold,ሸቀጥ,
868,commotion,n,A disturbance or violent agitation,ሁከት,
869,commute,v,"To put something, especially something less severe, in place of",መቀየር,
870,comparable,adj,Fit to be compared,የሚነጻጸር,
871,comparative,adj,Relative,ንጽጽራዊ,
872,comparison,n,Examination of two or more objects with reference to their likeness or unlikeness,ንጽጽር,
873,compensate,v,To remunerate,ማካካስ,
874,competence,n,Adequate qualification or capacity,ብቃት,
875,competent,adj,Qualified,ብቁ,
876,competitive,adj,characterized by rivalry,ውድድራዊ,
877,competitor,n,A rival,ተፎካካሪ,
878,complacence,n,Satisfaction with one's acts or surroundings,እርካታ,
879,complacent,adj,"Pleased or satisfied with oneself,,peaceful, easygoing",ራስ-እርካታ,
880,complaisance,n,Politeness,ጨዋነት,
881,complaisant,adj,Agreeable,ተግባቢ,
882,complement,v,To make complete,ማሟላት,
883,complex,adj,Complicated,ውስብስብ,
884,compliant,adj,Yielding,ተገዢ,
885,complicate,v,"To make complex, difficult, or hard to deal with",ማወሳሰብ,
886,complication,n,"An intermingling or combination of things or parts, especially in a perplexing manner",ውስብስብነት,
887,complicity,n,"Participation or partnership, as in wrong-doing or with a wrong-doer",ተባባሪነት,
888,compliment,v,To address or gratify with expressions of delicate praise,ማመስገን,
889,component,n,A constituent element or part,ክፍል,
890,comport,v,To conduct or behave (oneself),መኖር,
891,composure,n,Calmness,ትዕግስት,
892,comprehensible,n_pl,Intelligible,ለመረዳት የሚቻል,
893,comprehension,n,Ability to know,መረዳት,
894,comprehensive,adj,Large in scope or content,ሰፊ,
895,compress,v,To press together or into smaller space,መጨመቅ,
896,compressible,adj,Capable of being pressed into smaller compass,ሊጨመቅ የሚችል,
897,compression,n,"Constraint, as by force or authority",መጨመቅ,
898,comprise,v,"To consist of,,to consist of, include",ማካተት,
899,compulsion,n,Coercion,ማስገደድ,
900,compulsory,adj,Forced,የግድ,
901,compunction,n,Remorseful feeling,ንስሃ,
902,compute,v,To ascertain by mathematical calculation,ማስላት,
903,concede,v,To surrender,መቀበል,
904,conceit,n,Self-flattering opinion,ትዕቢት,
905,conceive,v,"To form an idea, mental image or thought of",መፀነስ,
906,concerto,n,A musical composition,ኮንሰርቶ,
907,concession,n,"Anything granted or yielded, or admitted in response to a demand, petition, or claim",ስምምነት,
908,conciliate,v,To obtain the friendship of,ማስታረቅ,
909,conciliatory,adj,Tending to reconcile,የማስታረቅ,
910,conclusive,adj,Sufficient to convince or decide,ወሳኝ,
911,concord,n,Harmony,መስማማት,
912,concordance,n,Harmony,መስማማት,
913,concur,v,To agree,መስማማት,
914,concurrence,n,Agreement,መስማማት,
915,concurrent,adj,Occurring or acting together,በአንድ ጊዜ,
916,concussion,n,A violent shock to some organ by a fall or a sudden blow,መንቀጥቀጥ,
917,condensation,n,The act or process of making dense or denser,ማጠቃለል,
918,condense,v,To abridge,ማጠቃለል,
919,condescend,v,"To come down voluntarily to equal terms with inferiors,,to lower oneself; to patronize",መውረድ,
920,condolence,n,"Expression of sympathy with a person in pain, sorrow, or misfortune",ሀዘን,
921,condone,v,"to allow something to happen, to give approval to a questionable act",መታገስ,
922,conduce,v,To bring about,ማመቻቸት,
923,conducive,adj,Contributing to an end,የሚጠቅም,
924,conductible,adj,Capable of being conducted or transmitted,የሚተላለፍ,
925,conduit,n,"A means for conducting something, particularly a tube, pipe, or passageway for a fluid",ቧንቧ,
926,confectionery,n,"The candy collectively that a confectioner makes or sells, as candy",ጣፋጮች,
927,confederacy,n,"A number of states or persons in compact or league with each other, as for mutual aid",ጥምረት,
928,confederate,n,"One who is united with others in a league, compact, or agreement",ተባባሪ,
929,confer,v,To bestow,መስጠት,
930,conferee,n,A person with whom another confers,ተጋራጭ,
931,confessor,n,A spiritual advisor,መናዘዝ,
932,confidant,n,"One to whom secrets are entrusted,,person with whom one can share a secret",ምስጢር አውቂ,
933,confide,v,To reveal in trust or confidence,መተማመን,
934,confidence,n,The state or feeling of trust in or reliance upon another,በራስ መተማመን,
935,confident,adj,Assured,በራስ የመተማመን,
936,confinement,n,Restriction within limits or boundaries,እስራት,
937,confiscate,v,To appropriate (private property) as forfeited to the public use or treasury,መውረስ,
938,conflagration,n,"A great fire, as of many buildings, a forest, or the like,,a huge fire",ቃጠሎ,
939,confluence,n,The place where streams meet,መጋጠሚያ,
940,confluent,n,A stream that unites with another,ተላላፊ ጅረት,
941,conformable,adj,Harmonious,ተስማሚ,
942,conformance,n,The act or state or conforming,መስማማት,
943,conformation,n,"General structure, form, or outline",ቅርጽ,
944,conformity,n,"Correspondence in form, manner, or use",ተጣጣሚነት,
945,confront,v,"To encounter, as difficulties or obstacles",መጋፈጥ,
946,congeal,v,To coagulate,ማጥንከር,
947,congenial,adj,"Having kindred character or tastes,,pleasant, friendly",ተስማሚ,
948,congest,v,To collect into a mass,ማጉላት,
949,congregate,v,To bring together into a crowd,መሰብሰብ,
950,coniferous,adj,Cone-bearing trees,ሾት ያላቸው ዛፎች,
951,conjecture,n,A guess,ግምት,
952,conjoin,v,To unite,መቀላቀል,
953,conjugal,adj,"Pertaining to marriage, marital rights, or married persons",የጋብቻ,
954,conjugate,adj,Joined together in pairs,ተጣምረው,
955,conjugation,n,The state or condition of being joined together,መጣመር,
956,conjunction,n,"The state of being joined together, or the things so joined",መገናኘት,
957,connive,v,To be in collusion,መተባበር,
958,connoisseur,n,"A critical judge of art, especially one with thorough knowledge and sound judgment of art",የጥበብ አድናቂ,
959,connote,v,To mean; signify,ማመልከት,
960,connubial,adj,Pertaining to marriage or matrimony,የጋብቻ,
961,conquer,v,To overcome by force,ማሸነፍ,
962,consanguineous,n,Descended from the same parent or ancestor,የዘመድ,
963,conscience,n,The faculty in man by which he distinguishes between right and wrong in character and conduct,ሕሊና,
964,conscientious,adj,Governed by moral standard,ሕሊናዊ,
965,conscious,adj,"Aware that one lives, feels, and thinks",ንቁ,
966,conscript,v,To force into military service,ማስገደድ,
967,consecrate,v,"To set apart as sacred,,to make sacred",መቀደስ,
968,consecutive,adj,Following in uninterrupted succession,ተከታታይ,
969,consensus,n,A collective unanimous opinion of a number of persons,ጋራ መስማማት,
970,conservatism,n,Tendency to adhere to the existing order of things,ወግ አጥባቂነት,
971,conservative,adj,Adhering to the existing order of things,ወግ አጥባቂ,
972,conservatory,n,An institution for instruction and training in music and declamation,የሙዚቃ ትምህርት ቤት,
973,consign,v,To entrust,ማስረከብ,
974,consignee,n,A person to whom goods or other property has been entrusted,ተቀባይ,
975,consignor,n,One who entrusts,አስረካቢ,
976,consistency,n,A state of permanence,ወጥነት,
977,console,v,To comfort,ማጽናናት,
978,consolidate,v,To combine into one body or system,ማጠናከር,
979,consonance,n,The state or quality of being in accord with,መስማማት,
980,consonant,adj,Being in agreement or harmony with,ተስማሚ,
981,consort,n,A companion or associate,አጋር,
982,conspicuous,adj,Clearly visible,ግልጽ,
983,conspirator,n,One who agrees with others to cooperate in accomplishing some unlawful purpose,ሴረኛ,
984,conspire,v,To plot,ማሴር,
985,constable,n,An officer whose duty is to maintain the peace,ፖሊስ,
986,constellation,n,An arbitrary assemblage or group of stars,ህብረ ከዋክብት,
987,consternation,n,Panic,ድንጋጤ,
988,constituency,n,The inhabitants or voters in a district represented in a legislative body,ምርጫ ክልል,
989,constituent,n,One who has the right to vote at an election,መራጭ,
990,constrict,v,To bind,ማጥበብ,
991,consul,n,"An officer appointed to reside in a foreign city, chiefly to represent his country",ቆንስል,
992,consulate,n,The place in which a consul transacts official business,ቆንስል ቤት,
993,consummate,v,To bring to completion,ማጠናቀቅ,
994,consumption,n,"Gradual destruction, as by burning, eating, etc , or by using up, wearing out, etc",ፍጆታ,
995,consumptive,adj,Designed for gradual destruction,የሚያጠፋ,
996,contagion,n,The communication of disease from person to person,ተላላፊ በሽታ,
997,contagious,adj,Transmitting disease,ተላላፊ,
998,contaminate,v,To pollute,ማበላሸት,
999,contemplate,v,To consider thoughtfully,ማሰላሰል,
1000,contemporaneous,adv,"Living, occurring, or existing at the same time",በአንድ ጊዜ,
1001,contemporary,adj,Living or existing at the same time,ዘመናዊ,
1002,contemptible,adj,Worthy of scorn or disdain,የሚናቅ,
1003,contemptuous,adj,Disdainful,ንቀት,
1004,contender,n,One who exerts oneself in opposition or rivalry,ተፎካካሪ,
1005,contiguity,n,Proximity,አጠገብ,
1006,contiguous,adj,Touching or joining at the edge or boundary,የሚጋራ,
1007,continence,n,"Self-restraint with respect to desires, appetites, and passion",ራስን መግታት,
1008,contingency,n,Possibility of happening,አጋጣሚ,
1009,contingent,adj,Not predictable,ያልተረጋገጠ,
1010,continuance,n,Permanence,ቀጣይነት,
1011,continuation,n,Prolongation,ቀጣይነት,
1012,continuity,n,"Uninterrupted connection in space, time, operation, or development",ቀጣይነት,
1013,continuous,adj,"Connected, extended, or prolonged without separation or interruption of sequence",ቀጣይ,
1014,contort,v,To twist into a misshapen form,ማጣመም,
1015,contraband,n,Trade forbidden by law or treaty,ኮንትሮባንድ,
1016,contradiction,n,The assertion of the opposite of that which has been said,ተቃርኖ,
1017,contradictory,adj,Inconsistent with itself,ተቃራኒ,
1018,contraposition,n,A placing opposite,ተቃራኒ አቀማመጥ,
1019,contravene,v,To prevent or obstruct the operation of,መቃወም,
1020,contribution,n,The act of giving for a common purpose,አስተዋጽኦ,
1021,contributor,n,"One who gives or furnishes, in common with others, for a common purpose",አስተዋጽዖ አበርካች,
1022,contrite,adj,"Broken in spirit because of a sense of sin,,apologetic, begging forgiveness",ንስሀ,
1023,contrivance,n,"The act planning, devising, inventing, or adapting something to or for a special purpose",ፈጠራ,
1024,contrive,v,To manage or carry through by some device or scheme,መፍጠር,
1025,control,v,"To exercise a directing, restraining, or governing influence over",መቆጣጠር,
1026,controller,n,One who or that which regulates or directs,አስተዳዳሪ,
1027,contumacious,adj,Rebellious,አማፂ,
1028,contumacy,n,Contemptuous disregard of the requirements of rightful authority,አመጽ,
1029,contuse,v,"To bruise by a blow, either with or without the breaking of the skin",ማቁሰል,
1030,contusion,n,A bruise,ቁስል,
1031,convalesce,v,To recover after a sickness,ማገገም,
1032,convalescence,n,The state of progressive restoration to health and strength after the cessation of disease,ማገገም,
1033,convalescent,adj,Recovering health after sickness,በማገገም ላይ,
1034,convene,v,To summon or cause to assemble,መሰብሰብ,
1035,convenience,n,"Fitness, as of time or place",ምቾት,
1036,converge,v,To cause to incline and approach nearer together,መገጣጠም,
1037,convergent,adj,Tending to one point,ወደ አንድ ነጥብ የሚያመራ,
1038,conversant,adj,Thoroughly informed,የተለማመደ,
1039,conversion,n,"Change from one state or position to another, or from one form to another",ልወጣ,
1040,convertible,adj,Interchangeable,ሊቀየር የሚችል,
1041,convex,adj,Curving like the segment of the globe or of the surface of a circle,ሾጣጣ,
1042,conveyance,n,That by which anything is transported,ማጓጓዣ,
1043,convivial,adj,"Devoted to feasting, or to good-fellowship in eating or drinking",ደስተኛ,
1044,convolution,n,A winding motion,መጠምጠም,
1045,convolve,v,To move with a circling or winding motion,ማጠምጠም,
1046,convoy,n,A protecting force accompanying property in course of transportation,አጃቢ,
1047,convulse,v,To cause spasms in,ማንቀጥቀጥ,
1048,convulsion,n,A violent and abnormal muscular contraction of the body,መንቀጥቀጥ,
1049,copious,adj,Plenteous,የተትረፈረፈ,
1050,coquette,n,A flirt,ኮኬት,
1051,cornice,n,An ornamental molding running round the walls of a room close to the ceiling,የግድግዳ ጣሪያ ማስዋቢያ,
1052,cornucopia,n,"The horn of plenty, symbolizing peace and prosperity",የተትረፈረፈ ቀንድ,
1053,corollary,n,A proposition following so obviously from another that it requires little demonstration,ተዋጽኦ,
1054,coronation,n,The act or ceremony of crowning a monarch,ዘውድ ማድረግ,
1055,coronet,n,"Inferior crown denoting, according to its form, various degrees of noble rank less than sovereign",የባላባት ዘውድ,
1056,corporal,adj,Belonging or relating to the body as opposed to the mind,አካላዊ,
1057,corporate,adj,Belonging to a corporation,የኮርፖሬሽን,
1058,corporeal,adj,Of a material nature; physical,አካላዊ,
1059,corps,n,A number or body of persons in some way associated or acting together,ሠራዊት,
1060,corpse,n,A dead body,ሬሳ,
1061,corpulent,adj,Obese,ወፍራም,
1062,corpuscle,n,A minute particle of matter,ጥቃቅን ቅንጣት,
1063,correlate,v,To put in some relation of connection or correspondence,ማዛመድ,
1064,correlative,adj,Mutually involving or implying one another,ተዛማጅ,
1065,corrigible,adj,Capable of reformation,ሊታረም የሚችል,
1066,corroborate,v,"To strengthen, as proof or conviction",ማረጋገጥ,
1067,corroboration,n,Confirmation,ማረጋገጫ,
1068,corrode,v,To ruin or destroy little by little,ማበላሸት,
1069,corrosion,n,Gradual decay by crumbling or surface disintegration,ዝገት,
1070,corrosive,n,That which causes gradual decay by crumbling or surface disintegration,የሚያበላሽ,
1071,corruptible,adj,Open to bribery,ሊገዛ የሚችል,
1072,corruption,n,Loss of purity or integrity,ሙስና,
1073,cosmetic,adj,"Pertaining to the art of beautifying, especially the complexion",የውበት,
1074,cosmic,adj,Pertaining to the universe,የአጽናፈ ሰማይ,
1075,cosmogony,n,A doctrine of creation or of the origin of the universe,የአጽናፈ ሰማይ አመጣጥ,
1076,cosmography,n,"The science that describes the universe, including astronomy, geography, and geology",የአጽናፈ ሰማይ ገለጻ,
1077,cosmology,n,The general science of the universe,ኮስሞሎጂ,
1078,cosmopolitan,adj,"Common to all the world,,worldly, having wide interests",ዓለም አቀፋዊ,
1079,cosmopolitanism,n,A cosmopolitan character,ዓለም አቀፋዊነት,
1080,cosmos,n,"The world or universe considered as a system, perfect in order and arrangement",አጽናፈ ሰማይ,
1081,counteract,v,To act in opposition to,መቃወም,
1082,counterbalance,v,To oppose with an equal force,ማመጣጠን,
1083,countercharge,v,To accuse in return,መከሰስ,
1084,counter-claim,n,A cross-demand alleged by a defendant in his favor against the plaintiff,ተቃራኒ ክስ,
1085,counterfeit,adj,Made to resemble something else,የሐሰት,
1086,counterpart,n,Something taken with another for the completion of either,ተመሳሳይ,
1087,countervail,v,To offset,ማካካስ,
1088,counting-house,n,"A house or office used for transacting business, bookkeeping, correspondence, etc",የሂሳብ ቤት,
1089,countryman,n,A rustic,የገጠር ሰው,
1090,coup,n,"personal victory acquired in a single stroke, major accomplishment",ድል,
1091,courageous,adj,Brave,ደፋር,
1092,course,n,Line of motion or direction,አቅጣጫ,
1093,courser,n,A fleet and spirited horse,ፈጣን ፈረስ,
1094,courtesy,n,Politeness originating in kindness and exercised habitually,ጨዋነት,
1095,covenant,n,An agreement entered into by two or more persons or parties,ቃል ኪዳን,
1096,covert,adj,"Concealed, especially for an evil purpose",ስውር,
1097,covey,n,A flock of quails or partridges,የወፎች መንጋ,
1098,cower,v,"To crouch down tremblingly, as through fear or shame",መሸሽ,
1099,coxswain,n,"One who steers a rowboat, or one who has charge of a ship's boat and its crew under an officer",የጀልባ መሪ,
1100,crag,n,"A rugged, rocky projection on a cliff or ledge",ገደል,
1101,cranium,n,"The skull of an animal, especially that part enclosing the brain",የራስ ቅል,
1102,crass,adj,"Coarse or thick in nature or structure, as opposed to thin or fine",ወፍራም,
1103,craving,n,A vehement desire,ጉጉት,
1104,creak,n,"A sharp, harsh, squeaking sound",ጫጫታ,
1105,creamery,n,A butter-making establishment,የቅቤ ፋብሪካ,
1106,creamy,adj,Resembling or containing cream,እንደ ቅቤ,
1107,credence,n,Belief,እምነት,
1108,credible,adj,Believable,የሚታመን,
1109,credulous,adj,Easily deceived,በቀላሉ የሚታለል,
1110,creed,n,A formal summary of fundamental points of religious belief,ሃይማኖታዊ እምነት,
1111,crematory,adj,A place for cremating dead bodies,የሬሳ ማቃጠሊያ,
1112,crevasse,n,A deep crack or fissure in the ice of a glacier,የበረዶ ስንጥቅ,
1113,crevice,n,"A small fissure, as between two contiguous surfaces",ስንጥቅ,
1114,criterion,n,A standard by which to determine the correctness of a judgment or conclusion,መለኪያ,
1115,critique,n,A criticism or critical review,ትችት,
1116,crockery,n,Earthenware made from baked clay,የሸክላ ዕቃ,
1117,crucible,n,A trying and purifying test or agency,ፈተና,
1118,crusade,n,"Any concerted movement, vigorously prosecuted, in behalf of an idea or principle",ተልዕኮ,
1119,crustacean,adj,"Pertaining to a division of arthropods, containing lobsters, crabs, crawfish, etc",ክራስታሲያን,
1120,crustaceous,adj,Having a crust-like shell,ቅርፊት ያለው,
1121,cryptic,adj,"secretive, hidden, hard to understand",ምስጢራዊ,
1122,cryptogram,n,Anything written in characters that are secret or so arranged as to have hidden meaning,ምስጢራዊ ጽሑፍ,
1123,crystallize,v,To bring together or give fixed shape to,ማብረር,
1124,cudgel,n,A short thick stick used as a club,ዱላ,
1125,culinary,adj,Of or pertaining to cooking or the kitchen,የምግብ አሰራር,
1126,cull,v,To pick or sort out from the rest,መምረጥ,
1127,culpable,adj,"Guilty,,guilty",ተጠያቂ,
1128,culprit,n,A guilty person,ተጠያቂ,
1129,culvert,n,"Any artificial covered channel for the passage of water through a bank or under a road, canal",የውሃ መውጫ ቧንቧ,
1130,cupidity,n,Avarice,ስግብግብነት,
1131,curable,adj,Capable of being remedied or corrected,የሚታከም,
1132,curator,n,A person having charge as of a library or museum,አስተዳዳሪ,
1133,curio,n,A piece of bric-a-brac,የጥንት ዕቃ,
1134,cursive,adj,Writing in which the letters are joined together,ተከታታይ ጽሑፍ,
1135,cursory,adj,Rapid and superficial,በፍጥነት,
1136,curt,adj,"Concise, compressed, and abrupt in act or expression",አጭር,
1137,curtail,v,To cut off or cut short,ማሳጠር,
1138,curtsy,n,A downward movement of the body by bending the knees,ሰገደ,
1139,cycloid,adj,Like a circle,ክብ መሰል,
1140,cygnet,n,A young swan,የባት ጫጩት,
1141,cynical,adj,Exhibiting moral skepticism,ተቺ,
1142,cynicism,n,Contempt for the opinions of others and of what others value,ተቺነት,
1143,cynosure,n,That to which general interest or attention is directed,የሁሉም ትኩረት,
1144,daring,adj,Brave,ደፋር,
1145,darkling,adv,Blindly,በጨለማ,
1146,Darwinism,n,The doctrine that natural selection has been the prime cause of evolution of higher forms,ዳርዊኒዝም,
1147,dastard,n,A base coward,ፈሪ,
1148,datum,n,"A premise, starting-point, or given fact",መረጃ,
1149,dauntless,adj,Fearless,ደፋር,
1150,day-man,n,A day-laborer,የቀን ሠራተኛ,
1151,dead-heat,n,"A race in which two or more competitors come out even, and there is no winner",እኩል ውድድር,
1152,dearth,n,"Scarcity, as of something customary, essential ,or desirable",እጥረት,
1153,death's-head,n,A human skull as a symbol of death,የሞት ምልክት,
1154,debase,v,To lower in character or virtue,ማዋረድ,
1155,debatable,adj,Subject to contention or dispute,ሊከራከር የሚችል,
1156,debonair,adj,Having gentle or courteous bearing or manner,ጨዋ,
1157,debut,n,A first appearance in society or on the stage,የመጀመሪያ ትርኢት,
1158,decagon,n,A figure with ten sides and ten angles,አስር ጎን,
1159,decagram,n,A weight of 10 grams,ዲካግራም,
1160,decaliter,n,A liquid and dry measure of 10 liters,ዲካሊትር,
1161,decalogue,n,The ten commandments,አሥርቱ ትእዛዛት,
1162,Decameron,n,A volume consisting of ten parts or books,አስር ክፍሎች,
1163,decameter,n,A length of ten meters,ዲካሜትር,
1164,decamp,v,To leave suddenly or unexpectedly,መሄድ,
1165,decapitate,v,To behead,ራስ መቁረጥ,
1166,decapod,adj,Ten-footed or ten-armed,አሥር እግር,
1167,decasyllable,n,A line of ten syllables,አሥር ፊደል,
1168,deceit,n,Falsehood,ማታለል,
1169,deceitful,adj,Fraudulent,አታላይ,
1170,deceive,v,To mislead by or as by falsehood,ማታለል,
1171,decency,n,Moral fitness,ጨዋነት,
1172,decent,adj,"Characterized by propriety of conduct, speech, manners, or dress",ጨዋ,
1173,deciduous,adj,"Falling off at maturity as petals after flowering, fruit when ripe, etc",ቅጠላቅጠል የሚረግፍ,
1174,decimal,adj,Founded on the number 10,አሥርዮሽ,
1175,decimate,v,To destroy a measurable or large proportion of,ማጥፋት,
1176,decipher,v,"To find out the true words or meaning of, as something hardly legible",ማንበብ,
1177,decisive,adj,Conclusive,ወሳኝ,
1178,declamation,n,A speech recited or intended for recitation from memory in public,ንግግር,
1179,declamatory,adj,A full and formal style of utterance,የንግግር,
1180,declarative,adj,"Containing a formal, positive, or explicit statement or affirmation",ገላጭ,
1181,declension,n,The change of endings in nouns and adj to express their different relations of gender,የቃል ለውጥ,
1182,decorate,v,To embellish,ማስጌጥ,
1183,decorous,adj,Suitable for the occasion or circumstances,ተገቢ,
1184,decoy,n,"Anything that allures, or is intended to allures into danger or temptation",ማታለያ,
1185,decrepit,adj,"Enfeebled, as by old age or some chronic infirmity",የተዳከመ,
1186,dedication,n,The voluntary consecration or relinquishment of something to an end or cause,መስዋዕትነት,
1187,deduce,v,To derive or draw as a conclusion by reasoning from given premises or principles,መደምደም,
1188,deface,v,To mar or disfigure the face or external surface of,ማበላሸት,
1189,defalcate,v,"To cut off or take away, as a part of something",መቁረጥ,
1190,defamation,n,Malicious and groundless injury done to the reputation or good name of another,ስም ማጥፋት,
1191,defame,v,To slander,ስም ማጥፋት,
1192,default,n,The neglect or omission of a legal requirement,አለመታዘዝ,
1193,defendant,n,A person against whom a suit is brought,ተከሳሽ,
1194,defensible,adj,Capable of being maintained or justified,የሚከላከል,
1195,defensive,adj,Carried on in resistance to aggression,መከላከያ,
1196,defer,v,To delay or put off to some other time,ማዘግየት,
1197,deference,n,"Respectful submission or yielding, as to another's opinion, wishes, or judgment",አክብሮት,
1198,defiant,adj,Characterized by bold or insolent opposition,ተቃዋሚ,
1199,deficiency,n,Lack or insufficiency,እጥረት,
1200,deficient,adj,Not having an adequate or proper supply or amount,የተጎደለ,
1201,definite,adj,Having an exact signification or positive meaning,ትክክለኛ,
1202,definitive,adj,defining; held up as the ultimate example of something,ወሳኝ,
1203,deflect,v,To cause to turn aside or downward,ማዞር,
1204,deforest,v,To clear of forests,ደን ማጥፋት,
1205,deform,v,To disfigure,ማበላሸት,
1206,deformity,n,A disfigurement,አካል ጉድለት,
1207,defraud,v,To deprive of something dishonestly,ማጭበርበር,
1208,defray,v,To make payment for,መክፈል,
1209,degeneracy,n,A becoming worse,መበላሸት,
1210,degenerate,v,To become worse or inferior,መበላሸት,
1211,degradation,n,"Diminution, as of strength or magnitude",መዋረድ,
1212,degrade,v,To take away honors or position from,ማዋረድ,
1213,dehydrate,v,To deprive of water,ማድረቅ,
1214,deify,v,To regard or worship as a god,አምላክ ማድረግ,
1215,deign,v,To deem worthy of notice or account,መገደብ,
1216,deist,n,"One who believes in God, but denies supernatural revelation",ዲስት,
1217,deity,n,"A god, goddess, or divine person",አምላክ,
1218,deject,v,To dishearten,ማሳዘን,
1219,dejection,n,Melancholy,ሀዘን,
1220,delectable,adj,Delightful to the taste or to the senses,ጣፋጭ,
1221,delectation,n,Delight,ደስታ,
1222,deleterious,adj,"Hurtful, morally or physically,,harmful",ጎጂ,
1223,delicacy,n,That which is agreeable to a fine taste,ጥሩ ጣዕም,
1224,delineate,v,"To represent by sketch or diagram,,to mark with a line or lines",መግለጽ,
1225,deliquesce,v,To dissolve gradually and become liquid by absorption of moisture from the air,መቅለጥ,
1226,delirious,adj,Raving,የተደናገጠ,
1227,delude,v,To mislead the mind or judgment of,ማታለል,
1228,deluge,v,To overwhelm with a flood of water,መጥለቅለቅ,
1229,delusion,n,"Mistaken conviction, especially when more or less enduring",ማታለል,
1230,demagnetize,v,To deprive (a magnet) of magnetism,ማጥፋት,
1231,demagogue,n,An unprincipled politician,አስመራጭ,
1232,demeanor,n,Deportment,ባህሪ,
1233,demented,adj,Insane,እብድ,
1234,demerit,n,A mark for failure or bad conduct,ውድቀት,
1235,demise,n,Death,ሞት,
1236,demobilize,v,"To disband, as troops",ማፍረስ,
1237,demolish,v,To annihilate,ማፍረስ,
1238,demonstrable,adj,Capable of positive proof,የሚታወቅ,
1239,demonstrate,v,To prove indubitably,ማሳየት,
1240,demonstrative,adj,Inclined to strong exhibition or expression of feeling or thoughts,ገላጭ,
1241,demonstrator,n,One who proves in a convincing and conclusive manner,አሳይ,
1242,demulcent,n,Any application soothing to an irritable surface,ማስታገሻ,
1243,demurrage,n,the detention of a vessel beyond the specified time of sailing,የመርከብ መቆያ ክፍያ,
1244,dendroid,adj,Like a tree,ዛፍ መሰል,
1245,dendrology,n,The natural history of trees,የዛፍ ጥናት,
1246,denizen,n,Inhabitant,ነዋሪ,
1247,denominate,v,To give a name or epithet to,መሰየም,
1248,denomination,n,A body of Christians united by a common faith and form of worship and discipline,ቤተ-ክርስቲያን,
1249,denominator,n,Part of a fraction which expresses the number of equal parts into which the unit is divided,አካፋይ,
1250,denote,v,To designate by word or mark,ማመልከት,
1251,denouement,n,That part of a play or story in which the mystery is cleared up,መፍቻ,
1252,denounce,v,"To point out or publicly accuse as deserving of punishment, censure, or odium",ማውገዝ,
1253,dentifrice,n,Any preparation used for cleaning the teeth,የጥርስ መጥረጊያ,
1254,denude,v,To strip the covering from,ማውለቅ,
1255,denunciation,n,The act of declaring an action or person worthy of reprobation or punishment,ውግዘት,
1256,deplete,v,"To reduce or lessen, as by use, exhaustion, or waste",ማዳከም,
1257,deplorable,adj,Contemptible,የሚያሳዝን,
1258,deplore,v,To regard with grief or sorrow,ማዘን,
1259,deponent,adj,Laying down,የሚያስቀምጥ,
1260,depopulate,v,To remove the inhabitants from,ማዋከን,
1261,deport,v,"To take or send away forcibly, as to a penal colony",ማባረር,
1262,deportment,n,Demeanor,ባህሪ,
1263,deposition,n,"Testimony legally taken on interrogatories and reduced to writing, for use as evidence in court",ምስክርነት,
1264,depositor,n,"One who makes a deposit, or has an amount deposited",ተቀማጭ,
1265,depository,n,A place where anything is kept in safety,ማስቀመጫ,
1266,deprave,v,"To render bad, especially morally bad",ማበላሸት,
1267,deprecate,v,"To express disapproval or regret for, with hope for the opposite",መቃወም,
1268,depreciate,v,To lessen the worth of,ማዋረድ,
1269,depreciation,n,A lowering in value or an underrating in worth,ዋጋ መቀነስ,
1270,depress,v,To press down,ማዋረድ,
1271,depression,n,A falling of the spirits,ጭንቀት,
1272,depth,n,Deepness,ጥልቀት,
1273,derelict,adj,Neglectful of obligation,ተትቷል,
1274,deride,v,To ridicule,ማሾፍ,
1275,derisible,adj,Open to ridicule,የሚሾፍ,
1276,derision,n,Ridicule,ፌዝ,
1277,derivation,n,That process by which a word is traced from its original root or primitive form and meaning,አመጣጥ,
1278,derivative,adj,Coming or acquired from some origin,የተገኘ,
1279,derive,v,"To deduce, as from a premise",መውሰድ,
1280,dermatology,n,The branch of medical science which relates to the skin and its diseases,የቆዳ ህክምና,
1281,derrick,n,An apparatus for hoisting and swinging great weights,ክሬን,
